"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"41485393","MY CORAL RESTAURANT","Brooklyn","5401","4 AVENUE","11220","9293296646","Latin American","2024-04-30T00:00:00.000","Violations were cited in the following area(s).","20-01","Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.","Not Critical",,,,"2025-10-14T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.644135038904","-74.014986656335","307","38","007600","3014576","3008230009","BK32"
"50154014","PIZZA HAVEN","Manhattan","4942","BROADWAY","10034","2125693720","Pizza","2024-09-26T00:00:00.000","Violations were cited in the following area(s).","16-02","The original nutrition fact labels or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.","Not Applicable",,,,"2025-10-14T06:00:14.000","Trans Fat / Initial Inspection","40.867776345085","-73.920869117333","112","10","029300","1064923","1022360001","MN01"
"50162643","CHICK ROCKS","Queens","3002","STEINWAY ST","11103","9297426119","Chicken","2024-12-11T00:00:00.000","Violations were cited in the following area(s).","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","Not Critical","15","N",,"2025-10-14T06:00:14.000","Pre-permit (Non-operational) / Initial Inspection","40.763466627399","-73.91534762494","401","22","015500","4010651","4006600048","QN70"
"50140178","BAYA BAR","Brooklyn","208","PROSPECT PARK WEST","11215","3473842064","Juice, Smoothies, Fruit Salads","2023-09-11T00:00:00.000","Violations were cited in the following area(s).","10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.","Not Critical","38",,,"2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.660729232724","-73.980114924132","307","39","016900","3026708","3011050040","BK40"
"50050835","SUBWAY","Queens","6025","ROOSEVELT AVE","11377","7187799166","Sandwiches","2023-12-15T00:00:00.000","Violations were cited in the following area(s).","06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.","Critical","10","A","2023-12-15T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.745515283011","-73.904110647606","402","26","025900","4028336","4012290122","QN63"
"50060917","21ST LIC DELI & GROCERY","Queens","4344","21ST ST","11101","7187862484","American","2022-12-02T00:00:00.000","Violations were cited in the following area(s).","06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.","Critical","27","B","2022-12-02T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.750011222522","-73.946223261177","402","26","001900","4441067","4004420032","QN31"
"50108129","123 RAMEN","Queens","4205","35TH AVE","11101","7184339169","Chinese/Japanese","2022-02-16T00:00:00.000","Violations were cited in the following area(s).","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.","Critical","36",,,"2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.75431919447","-73.920372768786","401","22","015900","4011000","4006750156","QN70"
"50137471","YAYO'S LATIN CUISINE","Brooklyn","36","5 AVENUE","11217","7186228922","Spanish","2023-06-27T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","16",,,"2025-10-14T06:00:14.000","Pre-permit (Operational) / Initial Inspection","40.681921019123","-73.976737459048","306","39","012901","3018435","3009300038","BK37"
"41026617","COZY COTTAGE RESTAURANT","Bronx","4105","BOSTON ROAD","10466","7188823040","American","2024-07-17T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","13","A","2024-07-17T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Initial Inspection","40.886127078544","-73.827575102891","212","12","048400","2097879","2049530135","BX03"
"50079419","GRACE'S","Manhattan","252","WEST   14 STREET","10011","6468700333","Irish","2024-03-12T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","9","A","2024-03-12T00:00:00.000","2025-10-14T06:00:14.000","Cycle Inspection / Re-inspection","40.739162794682","-74.001169182175","102","03","007700","1011096","1006180007","MN23"
