"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"66460470","2025-10-13T01:51:20.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11368","100-26 41 AVENUE","41 AVENUE","100 STREET","102 STREET","100 STREET","102 STREET","ADDRESS","CORONA","41 AVENUE",,"In Progress",,,,"04 QUEENS","4016160029","QUEENS","1021784","211891","ONLINE","Unspecified","QUEENS",,,,,,,,"40.748188757281845","-73.86453746090947","
,  
(40.748188757281845, -73.86453746090947)"
"66460469","2025-10-13T01:51:10.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11368","102-03 41 AVENUE","41 AVENUE","102 STREET","NATIONAL STREET","102 STREET","NATIONAL STREET","ADDRESS","CORONA","41 AVENUE",,"In Progress",,,,"04 QUEENS","4019740026","QUEENS","1022076","212010","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74851413770788","-73.86348294713301","
,  
(40.74851413770788, -73.86348294713301)"
"66454647","2025-10-13T01:50:58.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11368","41-14 103 STREET","103 STREET","41 AVENUE","42 AVENUE","41 AVENUE","42 AVENUE","ADDRESS","CORONA","103 STREET",,"In Progress",,,,"04 QUEENS","4019760006","QUEENS","1022256","212037","ONLINE","Unspecified","QUEENS",,,,,,,,"40.7485874740221","-73.86283316123935","
,  
(40.7485874740221, -73.86283316123935)"
"66459255","2025-10-13T01:50:58.000",,"NYPD","New York City Police Department","Urinating in Public","N/A","Residential Building/House","11691","13-06 BAYPORT PLACE","BAYPORT PLACE","CENTRAL AVENUE","AUGUSTINA AVENUE","CENTRAL AVENUE","AUGUSTINA AVENUE","ADDRESS","FAR ROCKAWAY","BAYPORT PLACE",,"In Progress",,,"2025-10-13T02:21:42.000","14 QUEENS","4155360001","QUEENS","1053335","160162","ONLINE","Unspecified","QUEENS",,,,,,,,"40.60601473690103","-73.75119867517188","
,  
(40.60601473690103, -73.75119867517188)"
"66454648","2025-10-13T01:50:48.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11368","41-16 103 STREET","103 STREET","41 AVENUE","42 AVENUE","41 AVENUE","42 AVENUE","ADDRESS","CORONA","103 STREET",,"In Progress",,,,"04 QUEENS","4019760007","QUEENS","1022259","212032","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74857373740339","-73.86282236226488","
,  
(40.74857373740339, -73.86282236226488)"
"66453465","2025-10-13T01:50:35.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11368","41-18 103 STREET","103 STREET","41 AVENUE","42 AVENUE","41 AVENUE","42 AVENUE","ADDRESS","CORONA","103 STREET",,"In Progress",,,,"04 QUEENS","4019760008","QUEENS","1022261","212027","ONLINE","Unspecified","QUEENS",,,,,,,,"40.7485600050822","-73.86281517237121","
,  
(40.7485600050822, -73.86281517237121)"
"66458124","2025-10-13T01:50:27.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11368","103-35 41 AVENUE","41 AVENUE","103 STREET","104 STREET","103 STREET","104 STREET","ADDRESS","CORONA","41 AVENUE",,"In Progress",,,,"04 QUEENS","4019750020","QUEENS","1022390","212199","ONLINE","Unspecified","QUEENS",,,,,,,,"40.749031545732876","-73.862348626046","
,  
(40.749031545732876, -73.862348626046)"
"66459306","2025-10-13T01:50:26.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10466","655 EAST  230 STREET","EAST  230 STREET","CARPENTER AVENUE","LOWERRE PLACE","CARPENTER AVENUE","LOWERRE PLACE","ADDRESS","BRONX","EAST  230 STREET",,"In Progress",,,,"12 BRONX","2048330028","BRONX","1022911","264242","MOBILE","Unspecified","BRONX",,,,,,,,"40.89187241649303","-73.86016845296459","
,  
(40.89187241649303, -73.86016845296459)"
"66456945","2025-10-13T01:50:15.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11368","103-19 41 AVENUE","41 AVENUE","103 STREET","104 STREET","103 STREET","104 STREET","ADDRESS","CORONA","41 AVENUE",,"In Progress",,,,"04 QUEENS","4019750009","QUEENS","1022341","212180","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74897960679132","-73.86252557965874","
,  
(40.74897960679132, -73.86252557965874)"
"66454563","2025-10-13T01:50:10.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11102","14-28 30 ROAD","30 ROAD","14 STREET","21 STREET","14 STREET","21 STREET","ADDRESS","ASTORIA","30 ROAD",,"In Progress",,,,"01 QUEENS","4005350036","QUEENS","1003570","219775","PHONE","Unspecified","QUEENS",,,,,,,,"40.769886864738574","-73.93025022168413","
,  
(40.769886864738574, -73.93025022168413)"
"66455814","2025-10-13T01:50:06.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11368","41-22 103 STREET","103 STREET","41 AVENUE","42 AVENUE","41 AVENUE","42 AVENUE","ADDRESS","CORONA","103 STREET",,"In Progress",,,,"04 QUEENS","4019760010","QUEENS","1022265","212016","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74852979569351","-73.86280079824553","
,  
(40.74852979569351, -73.86280079824553)"
"66454645","2025-10-13T01:49:58.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11368","41-20 103 STREET","103 STREET","41 AVENUE","42 AVENUE","41 AVENUE","42 AVENUE","ADDRESS","CORONA","103 STREET",,"In Progress",,,,"04 QUEENS","4019760009","QUEENS","1022263","212021","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74854352801564","-73.86280798813296","
,  
(40.74854352801564, -73.86280798813296)"
"66459322","2025-10-13T01:49:55.000",,"DOT","Department of Transportation","Sidewalk Condition","Sidewalk Collapsed","Sidewalk","10314","411 INGRAM AVENUE","INGRAM AVENUE","IOWA PLACE","VICTORY BOULEVARD","IOWA PLACE","VICTORY BOULEVARD","ADDRESS","STATEN ISLAND","INGRAM AVENUE",,"In Progress",,,,"01 STATEN ISLAND","5004620192","STATEN ISLAND","946495","162752","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.61331261224941","-74.13598483154043","
,  
(40.61331261224941, -74.13598483154043)"
